id,file,page_link,page_number,marginal_text,merged,text_line,posLeft,posUpper,posRight,posLower
i-44oE4S3WCwWAhNdRAkLh4q,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,"N:o 3, i anledning af förslag om öfverlemnande åt Talmännen att första gången sammankalla Kamrarnes gemensamma Utskott.",144.7661469933185,165.39634146341464,918.7082405345211,198.9329268292683
i-EikwYtnpQcextB1sv1rtrS,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,Sammanträdet afslutades kl. 9 e. m.,194.87750556792875,204.64939024390245,574.6102449888641,218.75
i-8oXuLmBKSi4gjbPm1hSLFE,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,In fidem H. Husberg. Fredagen den 25 Januari. Kl. 10 f. m. & I. Protokollet för den 22 i denna månad justerades och godkändes. g 2.,195.43429844097994,227.515243902439,876.391982182628,544.9695121951219
i-RjBbzxKrFU7WdvkBbwPE5T,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,Herr Talmannen yttrade:,146.9933184855234,550.685975609756,921.4922048997772,683.3079268292684
i-QePcS2vq1aPEqamjm2WjPb,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,"Innan jag öfvergår till föredragning af de ärenden, som hvila på bordet, får jag hemställa, huruvida icke Första Kammarens tillfälliga Utskotts, i nästföregående plenum bordlagda Utlåtande N:o 3, i anledning af väckt förslag om öfverlemnande åt Talmännen att första gången sammankalla Kamrarnes gemensämma Utskott, måtte, såsom varande ett ärende af brådskande beskaffenhet, i morgondagens sammanträde företagas till behandling framför något annat ärende och således sättas främst på föredragningslistan.",,,,
i-5R1rD7yNuqWoWXPQiQcVQ2,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,Den af Herr Talmannen sålunda gjorda hemställan blef af Kammaren bifallen.,147.5501113585746,682.545731707317,919.2650334075723,716.4634146341463
i-WjB3Qp7z5yBdTfAGGC6x1K,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,§ 3.,509.4654788418709,730.1829268292684,549.554565701559,745.8079268292684
i-DdB6FDckJGW3eDG1Ua243p,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,"Företogos nu val af suppleanter i nedannämnda Utskott, dervid utsågos:",197.10467706013364,751.5243902439024,918.7082405345211,768.6737804878048
i-NZKjydC11BJ2qfk9QxV9ue,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,å Konstitutions-Utskottet:,344.097995545657,782.0121951219512,702.6726057906458,797.6371951219512
i-QSszZGzPisS3Q6DzfThjcr,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,"Herr O. G. Hedengren med. .....s.c. 95 röster, Ås SJÖDErA vo so r REK BARR 90 . Friherre I. Koskull - s.scsccccs 80 oo» ss CO JF BRAdErSlAd vo sv son 8 RR or 79 » och",261.1358574610245,807.9268292682927,838.5300668151448,873.0945121951219
i-4TQkhY9X7tNToGkr2WZXzX,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,» Ola Bosson Olsson. «ss rss scr TT og,287.30512249443206,874.2378048780488,780.0668151447662,889.8628048780488
i-TMYQoZYFzpYYAahqzoUwvW,riksdagen-records\data\1867\prot-1867--fk--0313.xml,https://betalab.kb.se/prot-1867--fk--0313/prot_1867__fk__0313-021.jp2/_view ,22,1.0,0.0,Den 13 Mars. 123,412.7611518915867,74.43609022556392,838.5093167701864,86.46616541353383
i-Cw3NB5bZwMF8eXde8SVm4x,riksdagen-records\data\1867\prot-1867--fk--0313.xml,https://betalab.kb.se/prot-1867--fk--0313/prot_1867__fk__0313-021.jp2/_view ,22,0.0,0.0,"sista riksdagen, hade detta hinder bortfallit, men då fann man ett annat deruti, att fråga var om en förändrad indelning af häradernas distrikter. Då detta onus först infördes, funnos icke andra än jordbrukare i de flesta kommuner. Förhållandet är nu annorlunda och det finnes icke något skäl, hvarför icke alla, som njuta fördel af dessa byggnader, skulle deltaga i deras uppförande. Hvart och ett af de öfriga onera, som omhandlas i 26 Kap. Byggninga-balken, är genom särskildt beslut gjordt beroende af Kongl. Maj:ts pröfning. Vid sista riksdagen aflätos underdåniga skrifvelser i afseende på vägfrågor och prestegårdsbyggnad; och det finnes icke något skäl, hvarföre icke så skulle ske äfven i denna fråga. Den af Utskottet antydda modifikation, som borde ega rum för sådana medlemmar af kommunen, som icke äro fastighetsegare, synes mig äfven vara billig. Då en byggnad för kommunens räkning blifvit uppförd, ökas derigenom värdet å alla de inom kommunen belägna fastigheter, som varit skyldiga att deruti deltaga, liksom deras värde är mindre, då en sådan byggnad förestår, och såväl köpare, som säljare af fastigheterna underlåta icke att fästa afseende vid sådana omständigheter. Men de, som icke äro fastighetsegare, hafva icke något intresse af det skick, hvari kommunens byggnader befinnas. Det voro derföre obilligt, om en tjensteman, som kanske för en kort tid vistas inom en kommun, skuile i lika mån deltaga i detta onus, som en fastighetsegare.",83.00395256916997,98.12030075187971,858.8368153585545,434.5864661654135
i-AgCEWMkQBZPBdXqCArpp3t,riksdagen-records\data\1867\prot-1867--fk--0313.xml,https://betalab.kb.se/prot-1867--fk--0313/prot_1867__fk__0313-021.jp2/_view ,22,0.0,0.0,"På dessa grunder har Lag-Utskottet framställt sitt förslag; och jag vågar anhålla, att detsamma måtte af Kammaren bifallas.",83.56860530773574,431.9548872180451,856.5782044042913,463.5338345864662
i-WfxTEpfqZDrYwLqSnxh9b6,riksdagen-records\data\1867\prot-1867--fk--0313.xml,https://betalab.kb.se/prot-1867--fk--0313/prot_1867__fk__0313-021.jp2/_view ,22,0.0,0.0,Herr Tornerhjelm:,80.74534161490683,479.69924812030075,857.707509881423,753.0075187969925
i-CFnfVoGwvmvZb1gHHkxLXU,riksdagen-records\data\1867\prot-1867--fk--0313.xml,https://betalab.kb.se/prot-1867--fk--0313/prot_1867__fk__0313-021.jp2/_view ,22,0.0,0.0,"Den fråga, som nu föreligger, synes liten till sitt omfång, men jag tror att den är af en ganska djupt ingripande beskaffenhet. Jag delar åsigten om rigtigheten af skatternas, så vidt möjligt är, jemna fördelning. ""Men innan en sådan fördelning kan ske, är det nödvändigt, att vissa jemkningar föregått. Den som köpt en egendom till ett visst pris under vissa förhållanden, kan fordra att dessa förhållanden icke på en gång förändras, så att egendomens värde derigenom förminskas. Friheten från vissa onera kan ej utan orättvisa borttagas. Vi veta att Kongl. Maj:t låter utarbeta ett förslag till reglering af dessa förhållanden och vi böra med glädje bidraga till detta arbetes framgång. Men innan detta skett, vore det orätt att söka in? gripa i förhållandena, och jag tror att Kongl. Maj:t skulle vara förhindrad att tillmötesgå sådana önskningar. Dessutom finnas i Utskottets förslag uttryckta åsigter, som jag icke kan gilla. Man vill rättvist fördela dessa onera på fastighetsegarne, men man vill befria tjenstemän och andra icke fastighetsegare. Detta tror jag vara orätt. Öm en ny fördelning af dessa onera skall ske, böra inga undantag ega rum.",,,,
i-D8oMP2Ygo5rdTir7rDTcx1,riksdagen-records\data\1867\prot-1867--fk--0313.xml,https://betalab.kb.se/prot-1867--fk--0313/prot_1867__fk__0313-021.jp2/_view ,22,0.0,0.0,På nu anförda skäl anhåller jag om afslag å förslaget.,128.17617165443252,749.624060150376,722.1908526256352,768.4210526315788
i-M7rkL6LPxwznHsyjidGKPn,riksdagen-records\data\1867\prot-1867--fk--0313.xml,https://betalab.kb.se/prot-1867--fk--0313/prot_1867__fk__0313-021.jp2/_view ,22,0.0,0.0,Friherre Sprengtporten:,81.3099943534726,780.4511278195488,854.3195934500283,880.4511278195488
i-JqtdR1BYL4EkMF86YPr2yi,riksdagen-records\data\1867\prot-1867--fk--0313.xml,https://betalab.kb.se/prot-1867--fk--0313/prot_1867__fk__0313-021.jp2/_view ,22,0.0,0.0,"Man får icke förbise att det finnes ett stadgande, enligt hvilket vissa jordnaturer äro befriade från skyldigheten att deltaga i vissa onera. Jag delar lifligt den önskan att all jord i Sverige vore af lika natur. Men förändringen dertill bör icke ske genom något magtspråk. Det finnes något, som är af större vigt än besparingar för staten, nemligen bibehållande af eganderättens helgd.",,,,
i-Ho9bGEQQPpqYYkiZjRuLmF,riksdagen-records\data\1867\prot-1867--fk--0313.xml,https://betalab.kb.se/prot-1867--fk--0313/prot_1867__fk__0313-021.jp2/_view ,22,0.0,0.0,Jag vidhåller mitt yrkande om afslag å förslaget.,128.7408243929983,875.9398496240601,665.1609260304913,894.7368421052631
i-SXtshPJ83wt3RGrcm6sGzC,riksdagen-records\data\1867\prot-1867--ak--0514.xml,https://betalab.kb.se/prot-1867--ak--0514/prot_1867__ak__0514-002.jp2/_view ,3,1.0,0.0,708 Den 14 Maj.,161.6901408450704,68.82286573899962,565.0704225352113,80.85746521248589
i-3WJMJEL3tS5W3NWGuDwJE8,riksdagen-records\data\1867\prot-1867--ak--0514.xml,https://betalab.kb.se/prot-1867--ak--0514/prot_1867__ak__0514-002.jp2/_view ,3,0.0,0.0,"all dylik förhöjning, hvilken jag anser orättvis, och då jag tror att den brist, som förefinnes, bättre bör fyllas genom direkt beskattning, men då Riksdagen nu redan beslutat en dylik förhöjning, så kan någon förändring ej vidare fås i detta beslut, utan är nu frågan endast om huru det bör tillämpas. Jag medgifver att jag röstat för det beslut Utskottet i första punkten föreslår, ty jag anser det vara en vinst både för producenten och landet, att den högre skatten å bränvinstillverkningen redan i år kommer att utgå. Beträffande deremot högre tullsatser å kaffe och socker, så hade jag trott att beslutet härom icke borde blifva gällande äfven för detta år, men då man påstått, att det vore inkonseqvent att tillämpa förhöjningen i det ena men icke i det andra fallet, då densamma egentligen vore beroende på ett och samma beslut, så har jag röstat för att äfven denna förhöjning må nu genast, så fort ske kan, sättas i verket. Må det ursäktas mig att jag sålunda på detta sätt yttrar mig om en punkt, som ännu icke är föredragen, men jag gör det för att sedermera icke vidare behöfva härom begära ordet. Afven har jag röstat för tillämpningen af de högre tullsatserna redan i år af det skäl, att fördelen at lägre tullsatser icke kommer allmänheten, utan endast importören, till godo, och då frågorna härom nu redan utgöra Riksdagens beslut, hvilka icke kunna upprifvas, så kan jag icke annat än yrka bifall till såväl första punkten i fråga om den förhöjda bränvinsskattens utgörande äfven detta år, som till de i andra och tredje punkten föreslagna förhöjda tullsatserna å artiklarne bränvin, sprit, kaffe, kakao, socker och tobak m. m.",135.77464788732394,94.0203083866115,904.7887323943662,473.86235426852204
i-KKeVY7dKeiHysMx7YgzNN6,riksdagen-records\data\1867\prot-1867--ak--0514.xml,https://betalab.kb.se/prot-1867--ak--0514/prot_1867__ak__0514-002.jp2/_view ,3,0.0,0.0,Herr Kallstenius:,131.83098591549296,491.538172245205,898.5915492957747,640.4663407295976
i-4VjMpBzYo3W8wEe3R74kiZ,riksdagen-records\data\1867\prot-1867--ak--0514.xml,https://betalab.kb.se/prot-1867--ak--0514/prot_1867__ak__0514-002.jp2/_view ,3,0.0,0.0,"Utan att hysa den ringaste förhoppning att kunna ändra Kammarens en gång i dessa ämnen fattade beslut, så har jag dock ansett det vara min pligt, helst jag icke kan deltaga i det koketteri, som här på sednare tider visat sig att efteråt komma med en reservation mot ett beslut, man må nu hafva deltagit i detsamma eller icke, att nu begagna min lagliga rätt att tillkännagifva, det jag icke på ringaste sätt kan gilla Utskottets hemställan i denna punkt, utan att jag för min del finner mig föranlåten instämma med de tvenne talare, som här först uppträdde efter töredragningen af nu ifrågavarande Betän-",,,,
i-5Lcnd6eLX76unpsg4WWg9U,riksdagen-records\data\1867\prot-1867--ak--0514.xml,https://betalab.kb.se/prot-1867--ak--0514/prot_1867__ak__0514-002.jp2/_view ,3,0.0,0.0,kande.,130.14084507042253,640.4663407295976,192.67605633802816,652.5009402030839
i-39vVemhfCJVFa3S2n7odHT,riksdagen-records\data\1867\prot-1867--ak--0514.xml,https://betalab.kb.se/prot-1867--ak--0514/prot_1867__ak__0514-002.jp2/_view ,3,0.0,0.0,Herr Johannes Andersson:,128.45070422535213,673.1854080481385,894.6478873239437,820.6092515983452
i-McvKPc4BoSJPRpAn37NQyo,riksdagen-records\data\1867\prot-1867--ak--0514.xml,https://betalab.kb.se/prot-1867--ak--0514/prot_1867__ak__0514-002.jp2/_view ,3,0.0,0.0,"För min del kan jag icke gilla någon förhöjning i afgiften för bränvinstillverkningen, och ännu mindre att denna tillökning skulle tillämpas för det nu löpande året, ty det är alldeles icke rätt mot de mindre jordbrukarne, på samma gång som, enligt min åsigt, Statens inkomster derigenom komma att förminskas. Då härtill kommer den ytterligare bevillning folket nu nödgas åtaga sig för åstadkommande af vapenskatten, så finner jag mig föranlåten instämma i Herr August Andersons reservation, under beklagande att lagstiftningen i dessa ämnen nu tagit den vändning, som förevarande Betänkande utvisar.",,,,
i-C6rZW9uyNKwEHhsKUi64Y4,riksdagen-records\data\1867\prot-1867--ak--0514.xml,https://betalab.kb.se/prot-1867--ak--0514/prot_1867__ak__0514-002.jp2/_view ,3,0.0,0.0,Herr von Troil:,125.07042253521128,837.9089883414817,891.2676056338028,904.0992854456562
i-Wg5YntHTp7k2j5KA3GUGZr,riksdagen-records\data\1867\prot-1867--ak--0514.xml,https://betalab.kb.se/prot-1867--ak--0514/prot_1867__ak__0514-002.jp2/_view ,3,0.0,0.0,"De tvenne talare, som först uppträdde, hafva såsom skäl tör afslag anfört, att Here personer, som ämna utöfva bränvinsbränning 1 höst, redan sig dertill hos Konungens Befallningshafvande anmält och redan också erhållit uträkning på skattebeloppet, allt efter hvad",,,,
i-GLcdugw4FF1GvgqBqpjJx1,riksdagen-records\data\1869\prot-1869--fk--0405.xml,https://betalab.kb.se/prot-1869--fk--0405/prot_1869__fk__0405-008.jp2/_view ,9,1.0,0.0,376 Den 5 April.,150.997150997151,56.418023475956076,573.2193732193732,71.94244604316546
i-PNyxj7N9Hw3mVue5VxD7Pw,riksdagen-records\data\1869\prot-1869--fk--0405.xml,https://betalab.kb.se/prot-1869--fk--0405/prot_1869__fk__0405-008.jp2/_view ,9,0.0,0.0,"angelägenheter, söka göra gällande grundsatser, som stå i uppenbar strid, ej allenast mot kyrkans nuvarande organisationsform, utan snart sagdt mot allt kyrkligt lif. Då det gäller lagstiftning i kyrkliga angelägenheter, bör väl hvarje annan grundsats vika för den, att lagstiftningen icke får störande ingripa i sjelfva lifsvilkoren för det kyrkosamtfund, som blifvit af Staten erkändt. Ett sådant vilkor och ett bland de främsta är tvifvelsutan, att afgörandet af kyrkoförsamlingarnes angelägenheter, de må nu vara af yttre eller inre art, icke öfverlemnas åt främmande trosbekännare, som ej hafva något intresse i bevarandet af kyrkobekännelsens renhet och sanning, utan ar hvilka man tvärtom måste befara, att de med begärlighet skola omfatta hvarje medel att bekämpa och undergräfva både sjelfva kyrkan och alla dess institutioner. Derföre, och så obetydlig den nu föredragna frågan än må synas; så oväsentlig den begärda förändringen än kan tyckas ur vissa synpunkter (ehuru ej ur Statens); och så talande de skäl än må vara, som ur ekonomisk synpunkt kunna för densamma anföras — så är den likväl i sjelfva verket af så genomgripande betydelse, att dess bifallande skulle vara detsamma som att döma kyrkan till fullständig undergång, om också endast genom en långsam tvindöd. År man ej beredd att ikläda sig ansvaret för ett sådant resultat, så bör man ej biträda det förslag, genom hvars antagande detsamma tvifvelsutan skulle framkallas. Den af föregående talare antydda möjligheten, att fall kunna inträffa, då pluraliteten i en församling utgöres af främmande trosbekännare, synes mig för öfrigt utgöra det starkaste skälet för förslagets förkastande. Ty huru skulle det väl gå, om en sålunda sammansatt pluralitet skulle i kyrkliga angelägenheter kunna öfverrösta statskyrkans egna medlemmar? Redan denna möjlighet torde vara tillräckligt afskräckande. Vi kunna dessutom från andra länder hemta varnande exempel i detta afseende. Den engelska episkopala kyrkan står i viss mån justi den ställning, hvari man nu vill försätta vår svenska statskyrka, och det är bekant, att förstnämnda kyrka befinner sig 1 den största vånda och måste utkämpa den hårdaste strid om sitt eget bestånd, just derföre att äfven främmande trosbekännare, exempelvis de i Resland talrika baptisterna, medgifvits rätt att deltaga i afgörandet af hennes angelägenheter; och hos dessa främmande trosbekännare finnes det naturligtvis icke något intresse för kyrkans bästa. I många engelska församlingar få sålunda templen förfalla och ramla, utan att något åtgöres för deras underhållande. Inom vårt samhälle har den sunda grundsats gjort sig gällande, att alla af Staten erkända religiösa samfund, till och med sådana, hvilkas läror i väsendtlig mån skilja sig från statskyrkan, få inom sig sköta och ordna sina egna angelägenheter. Det skulle sålunda i sjelfva verket vara en återgång från den grundsats af religionsfrihet, som redan gjort sig gällande inom vår lagstiftning, om vi nu beröfvade statskyrkan en förmån, som är dissentersamfunden tillerkänd. Jag måste sålunda, med all aktning håde för motionären och för den afsigt, som föranledt hans för-",132.19373219373222,82.54449072321091,908.2621082621083,841.726618705036
i-T1VHN4hDCx9qdqVwryzKTU,riksdagen-records\data\1869\prot-1869--fk--0405.xml,https://betalab.kb.se/prot-1869--fk--0405/prot_1869__fk__0405-008.jp2/_view ,9,0.0,0.0,"slag, på det bestämdaste yrka afslag å det sednare och bifall till Utskottets hemställan.",135.61253561253562,835.6683074592958,907.6923076923077,867.0957970465732
i-LziVSqyn5PhuhH1kDdDwZb,riksdagen-records\data\1869\prot-1869--ak--0420.xml,https://betalab.kb.se/prot-1869--ak--0420/prot_1869__ak__0420-032.jp2/_view ,33,1.0,0.0,388 Den 20 April.,172.52747252747253,75.17677707480462,587.9120879120879,87.83029400818756
i-MDMBbEh1NPzpiDg9NrhQAc,riksdagen-records\data\1869\prot-1869--ak--0420.xml,https://betalab.kb.se/prot-1869--ak--0420/prot_1869__ak__0420-032.jp2/_view ,33,0.0,0.0,"och derigenom undgå de många frestelser, som utskänkningsstället ovedersägligen medför.",153.2967032967033,100.11164867882397,901.6483516483516,134.35057685150724
i-6BcxvP65oCPHXfjWimpQVP,riksdagen-records\data\1869\prot-1869--ak--0420.xml,https://betalab.kb.se/prot-1869--ak--0420/prot_1869__ak__0420-032.jp2/_view ,33,0.0,0.0,"Få kommuner på landet inrätta eller tillstädja utskänkningsställen, af fruktan för det obehag de onekligen i mer eller mindre grad alltid orsaka. Utminuteringsställen komma der icke heller till stånd, emedan dessa genom den för högt bestämda minimiqvantiteten icke kunna motsvara det med dem afsedda ändamålet. Följden häraf är också den, att lönnkrogar frodas öfverallt, och att nykterhet och laglydnad, om icke rent af motverkas, dock icke, som sig borde, befordras genom nu gällande stadgande. Jag anser derföre den af Bevillnings-Utskottet föreslagna förändringen både lämplig och nyttig och yrkar således bifall till Utskottets förslag i den nu föredragna punkten.",153.84615384615387,133.2340900632676,904.3956043956044,298.4741347227391
i-8ou7Xzdj4LpYRxYLJAiJrW,riksdagen-records\data\1869\prot-1869--ak--0420.xml,https://betalab.kb.se/prot-1869--ak--0420/prot_1869__ak__0420-032.jp2/_view ,33,0.0,0.0,Herr von Troil:,172.52747252747253,75.17677707480462,587.9120879120879,87.83029400818756
i-WVPer4puPCKW6Mu8R8C7HL,riksdagen-records\data\1869\prot-1869--ak--0420.xml,https://betalab.kb.se/prot-1869--ak--0420/prot_1869__ak__0420-032.jp2/_view ,33,0.0,0.0,"Jag har lika litet af den diskussion, hvilken i dag förekommit, som af de föregående Riksdagarnes kunnat öfvertyga mig om nyttan af det förslag, Utskottet här tillstyrkt. Jag tror visst, att ett sådant stadgande som det föreslagna kan vara beqvämt för Stockholms stad likasom för andra städer samt äfven ligga i en och annan landthandlandes intresse, men för landsbygden i allmänhet anser jag det rent af skadligt, då det efter min öfvertygelse skulle befordra superiet. Hade Utskottet fästat sig vid Herr Bennichs i hans reservation yttrade mening, eller framkommit med något särskildt förslag för städerna, så kunde det väl möjligen haft något skäl för sig. Under närvarande förhållanden får jag emellertid förklara att jag röstar för afslag.",154.3956043956044,314.4771120208411,904.945054945055,496.4644585039077
i-DMRiCGx9Kooj1kuXUjManm,riksdagen-records\data\1869\prot-1869--ak--0420.xml,https://betalab.kb.se/prot-1869--ak--0420/prot_1869__ak__0420-032.jp2/_view ,33,0.0,0.0,Herr Östman:,153.2967032967033,100.11164867882397,901.6483516483516,134.35057685150724
