id,file,page_link,page_number,marginal_text,merged,text
i-Cw3NB5bZwMF8eXde8SVm4x,riksdagen-records\data\1867\prot-1867--fk--0313.xml,https://betalab.kb.se/prot-1867--fk--0313/prot_1867__fk__0313-021.jp2/_view ,22,0.0,0.0,"sista riksdagen, hade detta hinder bortfallit, men då fann man ett annat deruti, att fråga var om en förändrad indelning af häradernas distrikter. Då detta onus först infördes, funnos icke andra än jordbrukare i de flesta kommuner. Förhållandet är nu annorlunda och det finnes icke något skäl, hvarför icke alla, som njuta fördel af dessa byggnader, skulle deltaga i deras uppförande. Hvart och ett af de öfriga onera, som omhandlas i 26 Kap. Byggninga-balken, är genom särskildt beslut gjordt beroende af Kongl. Maj:ts pröfning. Vid sista riksdagen aflätos underdåniga skrifvelser i afseende på vägfrågor och prestegårdsbyggnad; och det finnes icke något skäl, hvarföre icke så skulle ske äfven i denna fråga. Den af Utskottet antydda modifikation, som borde ega rum för sådana medlemmar af kommunen, som icke äro fastighetsegare, synes mig äfven vara billig. Då en byggnad för kommunens räkning blifvit uppförd, ökas derigenom värdet å alla de inom kommunen belägna fastigheter, som varit skyldiga att deruti deltaga, liksom deras värde är mindre, då en sådan byggnad förestår, och såväl köpare, som säljare af fastigheterna underlåta icke att fästa afseende vid sådana omständigheter. Men de, som icke äro fastighetsegare, hafva icke något intresse af det skick, hvari kommunens byggnader befinnas. Det voro derföre obilligt, om en tjensteman, som kanske för en kort tid vistas inom en kommun, skuile i lika mån deltaga i detta onus, som en fastighetsegare."
i-AgCEWMkQBZPBdXqCArpp3t,riksdagen-records\data\1867\prot-1867--fk--0313.xml,https://betalab.kb.se/prot-1867--fk--0313/prot_1867__fk__0313-021.jp2/_view ,22,0.0,0.0,"På dessa grunder har Lag-Utskottet framställt sitt förslag; och jag vågar anhålla, att detsamma måtte af Kammaren bifallas."
i-WfxTEpfqZDrYwLqSnxh9b6,riksdagen-records\data\1867\prot-1867--fk--0313.xml,https://betalab.kb.se/prot-1867--fk--0313/prot_1867__fk__0313-021.jp2/_view ,22,0.0,0.0,Herr Tornerhjelm:
i-CFnfVoGwvmvZb1gHHkxLXU,riksdagen-records\data\1867\prot-1867--fk--0313.xml,https://betalab.kb.se/prot-1867--fk--0313/prot_1867__fk__0313-021.jp2/_view ,22,0.0,0.0,"Den fråga, som nu föreligger, synes liten till sitt omfång, men jag tror att den är af en ganska djupt ingripande beskaffenhet. Jag delar åsigten om rigtigheten af skatternas, så vidt möjligt är, jemna fördelning. ""Men innan en sådan fördelning kan ske, är det nödvändigt, att vissa jemkningar föregått. Den som köpt en egendom till ett visst pris under vissa förhållanden, kan fordra att dessa förhållanden icke på en gång förändras, så att egendomens värde derigenom förminskas. Friheten från vissa onera kan ej utan orättvisa borttagas. Vi veta att Kongl. Maj:t låter utarbeta ett förslag till reglering af dessa förhållanden och vi böra med glädje bidraga till detta arbetes framgång. Men innan detta skett, vore det orätt att söka in? gripa i förhållandena, och jag tror att Kongl. Maj:t skulle vara förhindrad att tillmötesgå sådana önskningar. Dessutom finnas i Utskottets förslag uttryckta åsigter, som jag icke kan gilla. Man vill rättvist fördela dessa onera på fastighetsegarne, men man vill befria tjenstemän och andra icke fastighetsegare. Detta tror jag vara orätt. Öm en ny fördelning af dessa onera skall ske, böra inga undantag ega rum."
i-D8oMP2Ygo5rdTir7rDTcx1,riksdagen-records\data\1867\prot-1867--fk--0313.xml,https://betalab.kb.se/prot-1867--fk--0313/prot_1867__fk__0313-021.jp2/_view ,22,0.0,0.0,På nu anförda skäl anhåller jag om afslag å förslaget.
i-M7rkL6LPxwznHsyjidGKPn,riksdagen-records\data\1867\prot-1867--fk--0313.xml,https://betalab.kb.se/prot-1867--fk--0313/prot_1867__fk__0313-021.jp2/_view ,22,0.0,0.0,Friherre Sprengtporten:
i-JqtdR1BYL4EkMF86YPr2yi,riksdagen-records\data\1867\prot-1867--fk--0313.xml,https://betalab.kb.se/prot-1867--fk--0313/prot_1867__fk__0313-021.jp2/_view ,22,0.0,0.0,"Man får icke förbise att det finnes ett stadgande, enligt hvilket vissa jordnaturer äro befriade från skyldigheten att deltaga i vissa onera. Jag delar lifligt den önskan att all jord i Sverige vore af lika natur. Men förändringen dertill bör icke ske genom något magtspråk. Det finnes något, som är af större vigt än besparingar för staten, nemligen bibehållande af eganderättens helgd."
i-Ho9bGEQQPpqYYkiZjRuLmF,riksdagen-records\data\1867\prot-1867--fk--0313.xml,https://betalab.kb.se/prot-1867--fk--0313/prot_1867__fk__0313-021.jp2/_view ,22,0.0,0.0,Jag vidhåller mitt yrkande om afslag å förslaget.
i-SXtshPJ83wt3RGrcm6sGzC,riksdagen-records\data\1867\prot-1867--ak--0514.xml,https://betalab.kb.se/prot-1867--ak--0514/prot_1867__ak__0514-002.jp2/_view ,3,1.0,0.0,708 Den 14 Maj.
i-3WJMJEL3tS5W3NWGuDwJE8,riksdagen-records\data\1867\prot-1867--ak--0514.xml,https://betalab.kb.se/prot-1867--ak--0514/prot_1867__ak__0514-002.jp2/_view ,3,0.0,0.0,"all dylik förhöjning, hvilken jag anser orättvis, och då jag tror att den brist, som förefinnes, bättre bör fyllas genom direkt beskattning, men då Riksdagen nu redan beslutat en dylik förhöjning, så kan någon förändring ej vidare fås i detta beslut, utan är nu frågan endast om huru det bör tillämpas. Jag medgifver att jag röstat för det beslut Utskottet i första punkten föreslår, ty jag anser det vara en vinst både för producenten och landet, att den högre skatten å bränvinstillverkningen redan i år kommer att utgå. Beträffande deremot högre tullsatser å kaffe och socker, så hade jag trott att beslutet härom icke borde blifva gällande äfven för detta år, men då man påstått, att det vore inkonseqvent att tillämpa förhöjningen i det ena men icke i det andra fallet, då densamma egentligen vore beroende på ett och samma beslut, så har jag röstat för att äfven denna förhöjning må nu genast, så fort ske kan, sättas i verket. Må det ursäktas mig att jag sålunda på detta sätt yttrar mig om en punkt, som ännu icke är föredragen, men jag gör det för att sedermera icke vidare behöfva härom begära ordet. Afven har jag röstat för tillämpningen af de högre tullsatserna redan i år af det skäl, att fördelen at lägre tullsatser icke kommer allmänheten, utan endast importören, till godo, och då frågorna härom nu redan utgöra Riksdagens beslut, hvilka icke kunna upprifvas, så kan jag icke annat än yrka bifall till såväl första punkten i fråga om den förhöjda bränvinsskattens utgörande äfven detta år, som till de i andra och tredje punkten föreslagna förhöjda tullsatserna å artiklarne bränvin, sprit, kaffe, kakao, socker och tobak m. m."
i-KKeVY7dKeiHysMx7YgzNN6,riksdagen-records\data\1867\prot-1867--ak--0514.xml,https://betalab.kb.se/prot-1867--ak--0514/prot_1867__ak__0514-002.jp2/_view ,3,0.0,0.0,Herr Kallstenius:
i-4VjMpBzYo3W8wEe3R74kiZ,riksdagen-records\data\1867\prot-1867--ak--0514.xml,https://betalab.kb.se/prot-1867--ak--0514/prot_1867__ak__0514-002.jp2/_view ,3,0.0,0.0,"Utan att hysa den ringaste förhoppning att kunna ändra Kammarens en gång i dessa ämnen fattade beslut, så har jag dock ansett det vara min pligt, helst jag icke kan deltaga i det koketteri, som här på sednare tider visat sig att efteråt komma med en reservation mot ett beslut, man må nu hafva deltagit i detsamma eller icke, att nu begagna min lagliga rätt att tillkännagifva, det jag icke på ringaste sätt kan gilla Utskottets hemställan i denna punkt, utan att jag för min del finner mig föranlåten instämma med de tvenne talare, som här först uppträdde efter töredragningen af nu ifrågavarande Betän-"
i-5Lcnd6eLX76unpsg4WWg9U,riksdagen-records\data\1867\prot-1867--ak--0514.xml,https://betalab.kb.se/prot-1867--ak--0514/prot_1867__ak__0514-002.jp2/_view ,3,0.0,0.0,kande.
i-39vVemhfCJVFa3S2n7odHT,riksdagen-records\data\1867\prot-1867--ak--0514.xml,https://betalab.kb.se/prot-1867--ak--0514/prot_1867__ak__0514-002.jp2/_view ,3,0.0,0.0,Herr Johannes Andersson:
i-McvKPc4BoSJPRpAn37NQyo,riksdagen-records\data\1867\prot-1867--ak--0514.xml,https://betalab.kb.se/prot-1867--ak--0514/prot_1867__ak__0514-002.jp2/_view ,3,0.0,0.0,"För min del kan jag icke gilla någon förhöjning i afgiften för bränvinstillverkningen, och ännu mindre att denna tillökning skulle tillämpas för det nu löpande året, ty det är alldeles icke rätt mot de mindre jordbrukarne, på samma gång som, enligt min åsigt, Statens inkomster derigenom komma att förminskas. Då härtill kommer den ytterligare bevillning folket nu nödgas åtaga sig för åstadkommande af vapenskatten, så finner jag mig föranlåten instämma i Herr August Andersons reservation, under beklagande att lagstiftningen i dessa ämnen nu tagit den vändning, som förevarande Betänkande utvisar."
i-C6rZW9uyNKwEHhsKUi64Y4,riksdagen-records\data\1867\prot-1867--ak--0514.xml,https://betalab.kb.se/prot-1867--ak--0514/prot_1867__ak__0514-002.jp2/_view ,3,0.0,0.0,Herr von Troil:
i-Wg5YntHTp7k2j5KA3GUGZr,riksdagen-records\data\1867\prot-1867--ak--0514.xml,https://betalab.kb.se/prot-1867--ak--0514/prot_1867__ak__0514-002.jp2/_view ,3,0.0,0.0,"De tvenne talare, som först uppträdde, hafva såsom skäl tör afslag anfört, att Here personer, som ämna utöfva bränvinsbränning 1 höst, redan sig dertill hos Konungens Befallningshafvande anmält och redan också erhållit uträkning på skattebeloppet, allt efter hvad"
i-GLcdugw4FF1GvgqBqpjJx1,riksdagen-records\data\1869\prot-1869--fk--0405.xml,https://betalab.kb.se/prot-1869--fk--0405/prot_1869__fk__0405-008.jp2/_view ,9,1.0,0.0,376 Den 5 April.
i-PNyxj7N9Hw3mVue5VxD7Pw,riksdagen-records\data\1869\prot-1869--fk--0405.xml,https://betalab.kb.se/prot-1869--fk--0405/prot_1869__fk__0405-008.jp2/_view ,9,0.0,0.0,"angelägenheter, söka göra gällande grundsatser, som stå i uppenbar strid, ej allenast mot kyrkans nuvarande organisationsform, utan snart sagdt mot allt kyrkligt lif. Då det gäller lagstiftning i kyrkliga angelägenheter, bör väl hvarje annan grundsats vika för den, att lagstiftningen icke får störande ingripa i sjelfva lifsvilkoren för det kyrkosamtfund, som blifvit af Staten erkändt. Ett sådant vilkor och ett bland de främsta är tvifvelsutan, att afgörandet af kyrkoförsamlingarnes angelägenheter, de må nu vara af yttre eller inre art, icke öfverlemnas åt främmande trosbekännare, som ej hafva något intresse i bevarandet af kyrkobekännelsens renhet och sanning, utan ar hvilka man tvärtom måste befara, att de med begärlighet skola omfatta hvarje medel att bekämpa och undergräfva både sjelfva kyrkan och alla dess institutioner. Derföre, och så obetydlig den nu föredragna frågan än må synas; så oväsentlig den begärda förändringen än kan tyckas ur vissa synpunkter (ehuru ej ur Statens); och så talande de skäl än må vara, som ur ekonomisk synpunkt kunna för densamma anföras — så är den likväl i sjelfva verket af så genomgripande betydelse, att dess bifallande skulle vara detsamma som att döma kyrkan till fullständig undergång, om också endast genom en långsam tvindöd. År man ej beredd att ikläda sig ansvaret för ett sådant resultat, så bör man ej biträda det förslag, genom hvars antagande detsamma tvifvelsutan skulle framkallas. Den af föregående talare antydda möjligheten, att fall kunna inträffa, då pluraliteten i en församling utgöres af främmande trosbekännare, synes mig för öfrigt utgöra det starkaste skälet för förslagets förkastande. Ty huru skulle det väl gå, om en sålunda sammansatt pluralitet skulle i kyrkliga angelägenheter kunna öfverrösta statskyrkans egna medlemmar? Redan denna möjlighet torde vara tillräckligt afskräckande. Vi kunna dessutom från andra länder hemta varnande exempel i detta afseende. Den engelska episkopala kyrkan står i viss mån justi den ställning, hvari man nu vill försätta vår svenska statskyrka, och det är bekant, att förstnämnda kyrka befinner sig 1 den största vånda och måste utkämpa den hårdaste strid om sitt eget bestånd, just derföre att äfven främmande trosbekännare, exempelvis de i Resland talrika baptisterna, medgifvits rätt att deltaga i afgörandet af hennes angelägenheter; och hos dessa främmande trosbekännare finnes det naturligtvis icke något intresse för kyrkans bästa. I många engelska församlingar få sålunda templen förfalla och ramla, utan att något åtgöres för deras underhållande. Inom vårt samhälle har den sunda grundsats gjort sig gällande, att alla af Staten erkända religiösa samfund, till och med sådana, hvilkas läror i väsendtlig mån skilja sig från statskyrkan, få inom sig sköta och ordna sina egna angelägenheter. Det skulle sålunda i sjelfva verket vara en återgång från den grundsats af religionsfrihet, som redan gjort sig gällande inom vår lagstiftning, om vi nu beröfvade statskyrkan en förmån, som är dissentersamfunden tillerkänd. Jag måste sålunda, med all aktning håde för motionären och för den afsigt, som föranledt hans för-"
i-T1VHN4hDCx9qdqVwryzKTU,riksdagen-records\data\1869\prot-1869--fk--0405.xml,https://betalab.kb.se/prot-1869--fk--0405/prot_1869__fk__0405-008.jp2/_view ,9,0.0,0.0,"slag, på det bestämdaste yrka afslag å det sednare och bifall till Utskottets hemställan."
i-LziVSqyn5PhuhH1kDdDwZb,riksdagen-records\data\1869\prot-1869--ak--0420.xml,https://betalab.kb.se/prot-1869--ak--0420/prot_1869__ak__0420-032.jp2/_view ,33,1.0,0.0,388 Den 20 April.
i-MDMBbEh1NPzpiDg9NrhQAc,riksdagen-records\data\1869\prot-1869--ak--0420.xml,https://betalab.kb.se/prot-1869--ak--0420/prot_1869__ak__0420-032.jp2/_view ,33,0.0,0.0,"och derigenom undgå de många frestelser, som utskänkningsstället ovedersägligen medför."
i-6BcxvP65oCPHXfjWimpQVP,riksdagen-records\data\1869\prot-1869--ak--0420.xml,https://betalab.kb.se/prot-1869--ak--0420/prot_1869__ak__0420-032.jp2/_view ,33,0.0,0.0,"Få kommuner på landet inrätta eller tillstädja utskänkningsställen, af fruktan för det obehag de onekligen i mer eller mindre grad alltid orsaka. Utminuteringsställen komma der icke heller till stånd, emedan dessa genom den för högt bestämda minimiqvantiteten icke kunna motsvara det med dem afsedda ändamålet. Följden häraf är också den, att lönnkrogar frodas öfverallt, och att nykterhet och laglydnad, om icke rent af motverkas, dock icke, som sig borde, befordras genom nu gällande stadgande. Jag anser derföre den af Bevillnings-Utskottet föreslagna förändringen både lämplig och nyttig och yrkar således bifall till Utskottets förslag i den nu föredragna punkten."
i-8ou7Xzdj4LpYRxYLJAiJrW,riksdagen-records\data\1869\prot-1869--ak--0420.xml,https://betalab.kb.se/prot-1869--ak--0420/prot_1869__ak__0420-032.jp2/_view ,33,0.0,0.0,Herr von Troil:
i-WVPer4puPCKW6Mu8R8C7HL,riksdagen-records\data\1869\prot-1869--ak--0420.xml,https://betalab.kb.se/prot-1869--ak--0420/prot_1869__ak__0420-032.jp2/_view ,33,0.0,0.0,"Jag har lika litet af den diskussion, hvilken i dag förekommit, som af de föregående Riksdagarnes kunnat öfvertyga mig om nyttan af det förslag, Utskottet här tillstyrkt. Jag tror visst, att ett sådant stadgande som det föreslagna kan vara beqvämt för Stockholms stad likasom för andra städer samt äfven ligga i en och annan landthandlandes intresse, men för landsbygden i allmänhet anser jag det rent af skadligt, då det efter min öfvertygelse skulle befordra superiet. Hade Utskottet fästat sig vid Herr Bennichs i hans reservation yttrade mening, eller framkommit med något särskildt förslag för städerna, så kunde det väl möjligen haft något skäl för sig. Under närvarande förhållanden får jag emellertid förklara att jag röstar för afslag."
i-DMRiCGx9Kooj1kuXUjManm,riksdagen-records\data\1869\prot-1869--ak--0420.xml,https://betalab.kb.se/prot-1869--ak--0420/prot_1869__ak__0420-032.jp2/_view ,33,0.0,0.0,Herr Östman:
i-NsS1RpfaaS6RmoJ3fLHCoo,riksdagen-records\data\1869\prot-1869--ak--0420.xml,https://betalab.kb.se/prot-1869--ak--0420/prot_1869__ak__0420-032.jp2/_view ,33,0.0,0.0,"Jag tror för min del, att erfarenheten talar för den här föreslagna förändringen. Ingen kan väl nemligen påstå, att superiet tilltagit nu, då man får köpa en half kanna, i jemförelse med den tiden då man på utminuteringsställena icke fick köpa mindre än en hel kanna. Derföre tror jag icke heller, att det nu skulle medföra någon fara att nedsätta detta minimum till 20 kubiktum; och som jag således icke anser att Utskottets förslag skulle medföra några menliga följder, så yrkar jag bifall till detsamma i den här föredragna punkten."
i-6atkRdhSXdAxUYRK55L4fZ,riksdagen-records\data\1869\prot-1869--ak--0420.xml,https://betalab.kb.se/prot-1869--ak--0420/prot_1869__ak__0420-032.jp2/_view ,33,0.0,0.0,Herr Kinmanson:
i-3SkvVaX33og7Er3UER1KDM,riksdagen-records\data\1869\prot-1869--ak--0420.xml,https://betalab.kb.se/prot-1869--ak--0420/prot_1869__ak__0420-032.jp2/_view ,33,0.0,0.0,"Jag vill icke uppehålla Kammaren, utan får endast förklara, att jag förenar mig med dem, som yrka bifall till Utskottets förslag."
i-qa7wjkPXXRiS4MetXB2iV,riksdagen-records\data\1869\prot-1869--ak--0420.xml,https://betalab.kb.se/prot-1869--ak--0420/prot_1869__ak__0420-032.jp2/_view ,33,0.0,0.0,Herr Carl Ifvarsson:
i-V5DUVrAnxRLb6ohw6n3gne,riksdagen-records\data\1869\prot-1869--ak--0420.xml,https://betalab.kb.se/prot-1869--ak--0420/prot_1869__ak__0420-032.jp2/_view ,33,0.0,0.0,"Som alla diskussioner om bränvin vid våra riksdagar vanligen äro lika långa som tråkiga, så skall jag för min del icke vara vidlyftig. Jag vill endast hafva till protokollet antecknad min mening. Då det vid denna, liksom vid föregående riksdagar, är min åsigt, att den i närvarande bränvinslagstiftning stadgade minimiqvantiteten för utminutering bör nedsättas, så grundar sig denna min öfvertygelse derpå, att lönnkrogarne i vårt land komma att ökas, ju längre man dröjer med denna förändring. På landsbygden finnas få utskänkningsställen, och i följd deraf måste naturligtvis lönnkrögeriet frodas, då den som så önskar icke kan på utminuteringsstället få förse sig med en mindre qvantitet spirituosa än en half kanna. Icke heller anser jag det öfver-"
i-5AeYU1ugCVEHiCHRuLcz6K,riksdagen-records\data\1869\prot-1869--ak--0505.xml,https://betalab.kb.se/prot-1869--ak--0505/prot_1869__ak__0505-068.jp2/_view ,69,1.0,0.0,"Den 5 Maj, e. m. 323"
i-9K7EYusvTBrqmmwxg8RzDT,riksdagen-records\data\1869\prot-1869--ak--0505.xml,https://betalab.kb.se/prot-1869--ak--0505/prot_1869__ak__0505-068.jp2/_view ,69,0.0,0.0,"N:o 39, angående statsbidrag till vägars anläggning, brooch hamnbyggnader samt kanaler, äfvensom sjösänkningar och andra vattenaftappningsföretag; och"
