,id,file,page_link,page_number,marginal_text,merged,text_line,final_target
12,i-Qzi1VMJ4LNFDhMaGMBsWKt,riksdagen-records\data\1876\prot-1876--ak--047.xml,https://betalab.kb.se/prot-1876--ak--47/prot_1876__ak__47-027.jp2/_view ,28,1.0,0.0,N:o 47.,1.0
13,i-XgTYNsxdJMh95DS5k5nJs1,riksdagen-records\data\198182\prot-198182--016.xml,https://betalab.kb.se/prot-198182--16/prot_198182__16-006.jp2/_view ,7,1.0,0.0,Måndagen den 2 november 1981,1.0
14,i-2W2oQSF7JQoLUWQgsJvECS,riksdagen-records\data\1958\prot-1958-a-fk--018.xml,https://betalab.kb.se/prot-1958-a-fk--18/prot_1958_a_fk__18-012.jp2/_view ,13,0.0,0.0,"1) medgiva, att under budgetåret 1958/59 statlig kreditgaranti måtte beviljas, dels för lån avseende yttre ra-",0.0
15,i-Cvs4Y5X46SCSjbAC1skchU,riksdagen-records\data\1881\prot-1881--fk--039.xml,https://betalab.kb.se/prot-1881--fk--39/prot_1881__fk__39-001.jp2/_view ,2,0.0,0.0,"N:o 45, i anledning af Kongl. Maj:ts nådiga proposition angående genomförande af Medelpads fögderis delning i två fögderier.",0.0
16,i-VdHq7WY4A9mVAKYxkpqKhi,riksdagen-records\data\1970\prot-1970--ak--021.xml,https://betalab.kb.se/prot-1970--ak--21/prot_1970__ak__21-062.jp2/_view ,63,0.0,0.0,"I den nordiska ämbetsmannarapporten inför Nordeksamarbetet återspeglas på ett utmärkt sätt vari denna gemenskap består och hur den ytterligare skall kunna fördjupas. Vi har i den tillgång till en utförlig katalog över gemensamma nordiska problem, och denna redovisning bör kunna vara alla de nordiska länderna till stor hjälp vid kommande förhandlingar med EEC. även om det inte skulle bli fråga om ett gemensamt uppträdande, så gäller det i stor utsträckning gemensamma problem. De nordiska länderna måste därför vid kommande överläggningar eller direkta förhandlingar med EEC upprätthålla den intima kontakt som utvecklades under förarbetena på Nordek.",0.0
17,i-U7jdPTv7FmFMBMTug7eZtb,riksdagen-records\data\198990\prot-198990--058.xml,https://betalab.kb.se/prot-198990--58/prot_198990__58-020.jp2/_view ,21,0.0,0.0,"Herr talman! Det tillhör våra vanor att tacka för svaret, och det gör jag också. Däremot måste jag säga att svaret inte innehöll något svar på min fråga. Jag har ställt en så rak fråga som det någonsin kunde vara. Många undrar i likhet med mig och mina partikamrater varför regeringen har ryckt loss de två stora delarna, vägområdet och järnvägsområdet, ur budgetpropositionen bil. 8 som vi fick se i januari. En bakgrund till min fråga var att det i bil. 8 från kommunikationsministern inte ges minsta tillstymmelse till motivering till att man har ryckt loss dessa två stora delar och återkommer med en särproposition med ett nytt förslag. Jag skulle vilja att kommunikationsministern åtminstone svarade på vad som är motiveringen till detta. Det är nämligen så att vi försöker ha en helhetssyn på trafikpolitiken. Jag tror att det vore bra om regeringen också försökte ha det. Men om man tar bort de två stora delarna, som oftast är föremål för diskussion i samhället, och säger att man återkommer till dessa senare, börjar folk undra vad som är motiveringen.",0.0
18,i-BsJNF2rHFASpi2bHsARxaE,riksdagen-records\data\1964\prot-1964--ak--010.xml,https://betalab.kb.se/prot-1964--ak--10/prot_1964__ak__10-073.jp2/_view ,74,1.0,0.0,74 Nr 10,1.0
19,i-Uvc4QxwgdkBLKxfvFn2iaw,riksdagen-records\data\1971\prot-1971--076.xml,https://betalab.kb.se/prot-1971--76/prot_1971__76-005.jp2/_view ,6,0.0,0.0,"suppleant (för herr Adamsson) herr Svanberg, U. Ingvar (s)",0.0
20,i-Sj9hxPPeHtb8DZbNz6V5X8,riksdagen-records\data\1876\prot-1876--ak--047.xml,https://betalab.kb.se/prot-1876--ak--47/prot_1876__ak__47-027.jp2/_view ,28,0.0,0.0,"begagna, äro för längre tid i arbete anstälde, än äfven önskvärdheten deraf att nämnde arbetare, så vidt möjligt är, under vistelsen å den främmande orten ställas till dervarande kyrkliga och kommunala myndigheter i hufvudsakligen enahanda ställning som till motsvarande myndigheter i hemorten — ville hos Kongl. Maj:t i underdånighet anhålla, att Kongl. Maj:t, efter en allsidig pröfning af de medel, hvarigenom den rörlige arbetarens frihet må, utan att i öfrigt inskränkas, blifva behörigen regelbunden, täcktes låta utarbeta och, i den mån det kan falla inom Riksdagens beslutanderätt, för Riksdagen framlägga förslag till lag för ordnandet af förhållandet mellan arbetsgifvare och arbetstagare.""",0.0
21,i-AHscgMvj5zypJn1h98ktK,riksdagen-records\data\197677\prot-197677--001.xml,https://betalab.kb.se/prot-197677--1/prot_197677__1-013.jp2/_view ,14,0.0,0.0,Sven Mellqvist,0.0
22,i-7Vrm8Xq9fSdg42i4Vjz46C,riksdagen-records\data\1917\prot-1917--ak--057.xml,https://betalab.kb.se/prot-1917--ak--57/prot_1917__ak__57-031.jp2/_view ,32,0.0,0.0,"nr 14, i anledning av herr Magnussons i Skövde motion, nr 285, om skrivelse till Kungl. Maj:t angående utjämning av kostnaderna för anslutning till rikstelefonnätet;",0.0
23,i-AU8oBhDvfkvLNr7W3wK1Aj,riksdagen-records\data\197980\prot-197980--153.xml,https://betalab.kb.se/prot-197980--153/prot_197980__153-080.jp2/_view ,81,0.0,0.0,Ja — 159 Nej — 158,0.0
24,i-n2d5rtRziyUStpf64cbfr,riksdagen-records\data\1962\prot-1962--fk--026.xml,https://betalab.kb.se/prot-1962-höst-fk--26/prot_1962_höst_fk__26-002.jp2/_view ,3,1.0,0.0,Nr 26 3,1.0
25,i-Ci6iMhTW9Q5hDAMKedFrti,riksdagen-records\data\1904\prot-1904--fk--040.xml,https://betalab.kb.se/prot-1904--fk--40/prot_1904__fk__40-053.jp2/_view ,54,0.0,0.0,draget skall anses hafva förfallit.,0.0
26,i-5xjdKwWqwhfoZcxv9RyobY,riksdagen-records\data\1944\prot-1944--ak--032.xml,https://betalab.kb.se/prot-1944-höst-ak--32/prot_1944_höst_ak__32-060.jp2/_view ,61,0.0,0.0,Kungl. Maj:ts av utskottet tillstyrkta förslag till lag om provisorisk förstärkning av tilläggspensioner och invalidunderstöd.,0.0
27,i-HTxm4GVXPwjePUu1y5um7d,riksdagen-records\data\1940\prot-1940--ak--023.xml,https://betalab.kb.se/prot-1940--ak--23/prot_1940__ak__23-002.jp2/_view ,3,0.0,0.0,"nr 84, i anledning av Kungl. Maj:ts i statsverkspropositionen gjorda framställning angående stipendier åt studerande vid universiteten i Uppsala och Lund samt karolinska mediko-kirurgiska institutet jämte i ämnet väckta motioner;",0.0
28,i-8Gcu38E9cKbfR1tGWe9JU9,riksdagen-records\data\1875\prot-1875--fk--046.xml,https://betalab.kb.se/prot-1875--fk--46/prot_1875__fk__46-037.jp2/_view ,38,1.0,0.0,N:o 46.,1.0
29,i-3jYsszhvWQnwKowVZzbcFF,riksdagen-records\data\1867\prot-1867--ak--0416.xml,https://betalab.kb.se/prot-1867--ak--0416/prot_1867__ak__0416-016.jp2/_view ,17,1.0,0.0,Den 16 April. 19,1.0
30,i-9jG2sUmoPtmVqFCryYw3wo,riksdagen-records\data\1914\prot-1914-b-fk--059.xml,https://betalab.kb.se/prot-1914-b-fk--59/prot_1914_b_fk__59-058.jp2/_view ,59,0.0,0.0,"sant, att den allmänna lagen i England — General Powers Acts och The Petroleum Acts — icke ppställlen några strängare bestämmelser i den vägen; men de lokala myndigheterna äga i",0.0
31,i-Y65U5HG62kyMZuXPCMVfAV,riksdagen-records\data\1876\prot-1876--ak--053.xml,https://betalab.kb.se/prot-1876--ak--53/prot_1876__ak__53-044.jp2/_view ,45,0.0,0.0,"Då så många af våra grannländer redan antagit det metriska systemet, är det min fulla öfvertygelse, att den tid icke kan vara så långt aflägsen, då äfven här i riket detta system införes, och det torde då blifva till mycken nytta; men att så hastigt, som nu är föreslaget, tillämpa systemet, tror jag kommer att uppväcka ovilja hos den svenska allmänheten. Jag anser, att öfvergångstiden bort hafva varit längre, så att det uppväxande slägtet hunnit att bibringas undervisning i folkskolorna om systemet och allmänheten varit bättre i tillfälle att sätta sig in i detsamma. Jag tror således, att förslaget nu icke är nyttigt.",0.0
32,i-3VVzZYJjXDm2bV2Ym65qHH,riksdagen-records\data\1886\prot-1886--fk--024.xml,https://betalab.kb.se/prot-1886--fk--24/prot_1886__fk__24-040.jp2/_view ,41,0.0,0.0,"som från Kuopio län i Finland, från Ångermanland och från Norge",0.0
33,i-5AeYU1ugCVEHiCHRuLcz6K,riksdagen-records\data\1869\prot-1869--ak--0505.xml,https://betalab.kb.se/prot-1869--ak--0505/prot_1869__ak__0505-068.jp2/_view ,69,1.0,0.0,"Den 5 Maj, e. m. 323",1.0
34,i-66ZjGgkuwUp8oh3o8Rg9Dz,riksdagen-records\data\1886\prot-1886--ak--033.xml,https://betalab.kb.se/prot-1886--ak--33/prot_1886__ak__33-015.jp2/_view ,16,0.0,0.0,"Jag ber att få instämma med dem, som yrkat afslag.",0.0
35,i-WoYqyVX7ySxmUn8gr98REZ,riksdagen-records\data\1869\prot-1869--ak--0505.xml,https://betalab.kb.se/prot-1869--ak--0505/prot_1869__ak__0505-068.jp2/_view ,69,0.0,0.0,"Anmäldes och bordlades följande nu inkomna ärenden, nemligen: Stats-Utskottets nedannämnda Memorial och Utlåtanden:",0.0
36,i-H6E2Csftn2bUgAPWNfFc2C,riksdagen-records\data\1878\prot-1878--fk--028.xml,https://betalab.kb.se/prot-1878--fk--28/prot_1878__fk__28-012.jp2/_view ,13,0.0,0.0,"ölstugor skulle finnas, som komiterade kanske skulle vilja hafva",0.0
37,i-H1NaWpHrjCFsJwK9Caxw4p,riksdagen-records\data\1953\prot-1953--fk--011.xml,https://betalab.kb.se/prot-1953--fk--11/prot_1953__fk__11-045.jp2/_view ,46,0.0,0.0,"Men det andra och i det här sammanhanget väsentliga argumentet är att jag tror att det ur rent nationalekonomisk och allmänt kulturell synpunkt är en alldeles för snäv uppfattning om SJ:s verksamhet, om man i likhet med kommunikationsministern menar att endast den verksamhet som är direkt lönande skall sättas i gång. Det är med ett trafikföretag som SJ liksom t. ex. med flyget på det sättet, att det ekonomiska resultatet avspeglas icke allenast i bokslutet, utan vi får se det ur betydligt vidare synpunkter och betrakta SJ lik-",0.0
38,i-Q8jeyxkKPpkvqJjYgE9jBt,riksdagen-records\data\1905\prot-1905--ak--040.xml,https://betalab.kb.se/prot-1905--ak--40/prot_1905__ak__40-022.jp2/_view ,23,0.0,0.0,"n:o 88, i anledning af väckt motion om afsättande af en procent utaf beloppet af under år 1906 inflytande brännvinstillverkningsafgifter för anordnande af föreläsningsoch undervisningskurser i alkohologi m. m.",0.0
39,i-U6p4BJskgkidPZzEhzyVJc,riksdagen-records\data\1938\prot-1938--ak--006.xml,https://betalab.kb.se/prot-1938--ak--6/prot_1938__ak__6-011.jp2/_view ,12,0.0,0.0,nr 202 av herr Bergvall m. fl.;,0.0
40,i-N5Tfv9oeKAjk3CbBDiKTn6,riksdagen-records\data\1945\prot-1945--ak--036.xml,https://betalab.kb.se/prot-1945-höst-ak--36/prot_1945_höst_ak__36-017.jp2/_view ,18,0.0,0.0,"i anledning av Kungl. Maj:ts proposition, nr 370, med förslag till uppbördsförordning, m. m., motionerna",0.0
41,i-ViZNHEtKjGrWQPPX3i1rQk,riksdagen-records\data\1912\prot-1912--ak--019.xml,https://betalab.kb.se/prot-1912--ak--19/prot_1912__ak__19-059.jp2/_view ,60,0.0,0.0,"Den ledamot af kammaren, som icke i rätt tid vid riksdagen sig inställer, skall för hvarje dag han uteblifver vara förlustig tio riksdaler af arfvodet.",0.0
42,i-UxfQCQhfVbkNMhdpvC63RK,riksdagen-records\data\1925\prot-1925--fk--024.xml,https://betalab.kb.se/prot-1925--fk--24/prot_1925__fk__24-003.jp2/_view ,4,0.0,0.0,"Det är att märka, att enligt 1901 års lag livräntor skulle utgå allenast till änkor och barn men ej till föräldrar till genom olycksfall omkomna arbetare. Ålderdomsförsäkringskommittén upptog icke heller något stadgande därom och ej heller Kungl. Maj:ts proposition till 1916 års riksdag, då nu gällande lag antogs. Riksdagen utvidgade emellertid då själv lagen till att avse även livräntor åt föräldrar, som huvudsakligen varit beroende av den avlidnes arbete, och detta skedde under åberopande av en av riksdagen antagen lagändring av år 1909, varigenom livräntor tillerkänts föräldrar till värnpliktig, som avlidit till följd av skada, ådragen under militär tjänstgöring. Sistnämnda stadgande motiverades med att uppskov med inskrivning och sedermera eventuell befrielse från värnpliktens fullgörande kunde medgivas, bland andra, ende arbetsföre sonen till orkeslös eller vanför fader eller till änka eller ogift kvinna och att därigenom från statens sida erkänts, att hänsyn borde tagas till deras ställning, vilka för sitt uppehälle vore väsentligen beroende av sina barns arbete. | I årets kungl. proposition till ny värnpliktslag är visserligen ordet »väsentligen» struket, så att värnpliktig skulle få uppskov, om blott föräldrarna vore beroende av hans arbete, men denna ändring har uppenbarligen tillkommit endast för att utgallra ett överskott av värnpliktiga. Någon utsträckt rätt till livränta för föräldrar till en avliden värnpliktig har emellertid nu ej ifrågasatts, och det är i varje fall mer än tvivelaktigt, om arbetsgivarna, som få betala premierna, böra åläggas den utsträckta ersättningsskyldighet, varom här är fråga.",0.0
43,i-T5jVnTijkkAqbPPeCwu4Fy,riksdagen-records\data\1935\prot-1935--fk--018.xml,https://betalab.kb.se/prot-1935--fk--18/prot_1935__fk__18-006.jp2/_view ,7,0.0,0.0,"nr 54, i anledning av Kungl. Maj:ts proposition angående utarrendering av kronan tillhörig andel i Jössefors vattenfall;",0.0
44,i-NfsAErnqo4gZSeTzegGDEH,riksdagen-records\data\1968\prot-1968--ak--007.xml,https://betalab.kb.se/prot-1968--ak--7/prot_1968__ak__7-019.jp2/_view ,20,0.0,0.0,"Den, som vill, att kammaren bifaller",0.0
45,i-B9FGqRi1qkPTibXBb9iR77,riksdagen-records\data\1887\prot-1887-majjul-fk--018.xml,https://betalab.kb.se/prot-1887-majjul-fk--18/prot_1887_majjul_fk__18-020.jp2/_view ,21,1.0,0.0,Förslag till lag om skiljemän.,1.0
46,i-8k57ArhEr27sptEJbH1NTq,riksdagen-records\data\1882\prot-1882--ak--042.xml,https://betalab.kb.se/prot-1882--ak--42/prot_1882__ak__42-014.jp2/_view ,15,0.0,0.0,kronor.,0.0
47,i-PKvmNNEgisc9gpBZz1aPo6,riksdagen-records\data\1972\prot-1972--074.xml,https://betalab.kb.se/prot-1972--74/prot_1972__74-060.jp2/_view ,61,1.0,0.0,Om åtgärder med,1.0
48,i-EJEY6JD52hNvHvsca4Dgyh,riksdagen-records\data\1925\prot-1925--fk--024.xml,https://betalab.kb.se/prot-1925--fk--24/prot_1925__fk__24-003.jp2/_view ,4,1.0,0.0,lagen. (Forts.),1.0
49,i-RfGucA2GrCbkCbjECx6X9n,riksdagen-records\data\197576\prot-197576--080.xml,https://betalab.kb.se/prot-197576--80/prot_197576__80-016.jp2/_view ,17,0.0,0.0,"Jag finner det ganska naturligt att ett land som har en hög sysselsättningsgrad också har ett icke oväsentligt inslag av deltidsarbete. Jag tycker att det är fullkomligt riktigt att sikta in sig på möjligheterna till reducerad arbetstid för vissa grupper, t. ex. småbarnsföräldrar, äldre och handikappade, underjordsarbetare etc. Det borde inte vara någon svårighet att komma överens i den frågan. Men härifrån till att bjuda ut förkortad arbetstid över hela fältet tycker jag att steget är långt.",0.0
50,i-EdXZoYpnGQUhBS2nsYEzCA,riksdagen-records\data\1958\prot-1958-a-ak--002.xml,https://betalab.kb.se/prot-1958-a-ak--2/prot_1958_a_ak__2-182.jp2/_view ,183,0.0,0.0,"Jag övergår nu till några kommentarer beträffande den internationella hjälpverksamheten, som också berörts i flera tidigare anföranden. Fru Thorsson sade i går och herr Lundqvist i dag, att de svenska insatserna för hjälp till underutvecklade länder borde vara större än de är. Jag är också medveten om att riksdagsmän som ögnat i tredje huvudtiteln och sett att anslagssiffran ligger 300 000 kronor under fjolårssiffran, kan föranledas att i hastigheten tro att vi från svensk sida ämnar minska våra insatser under kommande budgetår. Så är naturligtvis inte fallet. Förklaringen är den enkla, att det finns reservationsmedel på anslaget att tömma och att dessa lämpligen bör förbrukas under ett år, när det statsfinansiella läget är trängt. Det är ju så att den s. k. bilaterala hjälpen, d. v. s. ett givande och tagande mellan två länder, är en arbetsam form av bistånd. Nya projekt kräver långa förberedelser, och uppbyggnad av institutioner brukar ta tid i anspråk, inte minst i Orienten. De svenska hjälpinsatserna är som bekant lokaliserade till Pakistan och Etiopien. Det kan därför komma att dröja med utbetalningen av medel, som har reserverats för dylika institutioner. Detta är orsaken till att vissa tillgångar kan tas i anspråk utöver de i huvudtiteln äskade anslagsbeloppen för nästa budgetår. Inom huvudtitelns ram har i alla fall",0.0
51,i-T5VgzBGnmHXCD3umw8AYJz,riksdagen-records\data\1912\prot-1912--ak--019.xml,https://betalab.kb.se/prot-1912--ak--19/prot_1912__ak__19-059.jp2/_view ,60,0.0,0.0,Efter föredragning af utskottets uti punkten 1 gjorda hermställan yttrade,0.0
52,i-4FZh9fteGFRFYjSheTAXvZ,riksdagen-records\data\1933\prot-1933--fk--011.xml,https://betalab.kb.se/prot-1933--fk--11/prot_1933__fk__11-001.jp2/_view ,2,0.0,0.0,"I den kungl. propositionen hade föreslagits en ökning i de nuvarande skattesatserna, så att skatten höjdes för de första under tillverkningsåret avverkade 100,000 kilogrammen malt från 85 öre till 1 krona 25 öre för kilogram, för de nästa 100,000 kilogrammen från 90 öre till 1 krona 35 öre för kilogram samt för överskjutande kvantiteter från 95 öre till 1 krona 45 öre för kilogram.",0.0
53,i-2fkjbs2RxD416utD2SfrrC,riksdagen-records\data\1911\prot-1911--fk--033.xml,https://betalab.kb.se/prot-1911--fk--33/prot_1911__fk__33-021.jp2/_view ,22,0.0,0.0,"heter att på några ställen få en bank, som vore pålitlig och kunde stå sig.",0.0
54,i-FV7pUxQtaPqdgi2mCUgRzX,riksdagen-records\data\1900\prot-1900--ak--055.xml,https://betalab.kb.se/prot-1900--ak--55/prot_1900__ak__55-026.jp2/_view ,27,1.0,1.0,Fredagen den 11 Maj. 27,2.0
55,i-QAHd19j8f8gQonbPUEqp5X,riksdagen-records\data\1944\prot-1944--ak--032.xml,https://betalab.kb.se/prot-1944-höst-ak--32/prot_1944_höst_ak__32-060.jp2/_view ,61,0.0,0.0,"Det framgår av utlåtandet, att majoritetsståndpunkten avgjordes av lotten. Det är sex ledamöter av utskottet som stå för den reservation, till vilken jag anslutit mig, och de övriga ledamöterna ha splittrats på två linjer. Egentligen är det sålunda så, att de som här stå för majoritetsförslaget endast äro fyra ledamöter av de tolv, som deltagit i ärendets behandling. Att så blivit förhållaudet sammanhänger med den vanliga propositionsordningen, då man röstar",0.0
56,i-NEz8Z5aaGaBrciFC11dXE2,riksdagen-records\data\1928\prot-1928--ak--024.xml,https://betalab.kb.se/prot-1928--ak--24/prot_1928__ak__24-077.jp2/_view ,78,0.0,0.0,Herr talman! Jag ber att få yrka bifall till utskottets förslag i denna punkt.,0.0
57,i-Rwv9gjCyPaiRLDaTzBoRmc,riksdagen-records\data\1883\prot-1883--fk--012.xml,https://betalab.kb.se/prot-1883--fk--12/prot_1883__fk__12-003.jp2/_view ,4,0.0,0.0,"Då man strängt håller på Kongl. Maj:ts initiativ, sker det bland annat af det skäl, att en noggrann och fullständig utredning i många fall icke gerna kan vinnas, utan att den lemnas från behörigt håll efter vederbörlig auktoritets hörande. I detta fall åter, sedan utredning redan har blifvit åstadkommen i och genom Musikaliska akademiens ganska fullständiga och väl motiverade utlåtande i ämnet, och då",0.0
58,i-YV15iChaNGghBiuNzMEoaz,riksdagen-records\data\1879\prot-1879--ak--041.xml,https://betalab.kb.se/prot-1879--ak--41/prot_1879__ak__41-042.jp2/_view ,43,0.0,0.0,"Utskottet hade tillstyrkt,",0.0
59,i-Y216B6tYe2BJqCTvKW7fiS,riksdagen-records\data\1964\prot-1964--ak--010.xml,https://betalab.kb.se/prot-1964--ak--10/prot_1964__ak__10-073.jp2/_view ,74,0.0,0.0,"Herr talman! Inom andra lagutskottet har vi tagit mycket allvarligt på den fråga det här gäller och vi förnekar ingalunda att den grupp som motionärerna haft i tankarna ställes inför mycket stora svårigheter, ett öde som ju då och då drabbar även många andra grupper i samhället. Vi har emellertid utgått från motionen sådan den är skriven och därför har våra funderingar särskilt gällt lösning av frågan med en förtidspensionering.",0.0
60,i-7ELspkHCwcKAsDFgXGDX1W,riksdagen-records\data\1927\prot-1927--ak--026.xml,https://betalab.kb.se/prot-1927--ak--26/prot_1927__ak__26-009.jp2/_view ,10,0.0,0.0,"De betänkligheter, som jag sedan sist sålunda fått understrukna, behöver",0.0
61,i-RpqyXKhzrD16os6Lr8ZfMc,riksdagen-records\data\1938\prot-1938--ak--006.xml,https://betalab.kb.se/prot-1938--ak--6/prot_1938__ak__6-011.jp2/_view ,12,0.0,0.0,nr 203 och 204 av herr Åqvist m. fl.; nr 205 av herr Flyg m. fl.;,0.0
62,i-KZnd7D4EzH58GicgpTxBFe,riksdagen-records\data\1883\prot-1883--fk--017.xml,https://betalab.kb.se/prot-1883--fk--17/prot_1883__fk__17-010.jp2/_view ,11,0.0,0.0,"Motionären anser, att förhållandet före 1870 var för sjöfarten fördelaktigare än det nu är. Detta är något, som åtminstone icke stått klart för Utskottet, och svårligen torde genom officiella handlingar kunna styrkas, att så varit. Jag vill dock icke neka till, att jag i ett fall instämmer med motionären, och deruti hoppas jag, att, om det verkligen befinnes nödigt, en lindring må snart kunna medgifvas. Jag syftar här på den mindre sjöfarten i allmänhet och framför allt på den, som bedrifves med s. k. roslagsbåtar. Med afseende på dessa vore det önskligt, om en lindring kunde medgifvas, så att gränsen för afgiftsskyldighet icke sattes vid 40 ton. Detta är en så ringa sak, att jag är viss om, att Kongl. Maj:t, när uppmärksamheten nu blifvit fäst härpå och förhållandet kan bedömas af en så sakkunnig man som Herr Statsrådet och Chefen för Sjöförsvarsdepartementet,",0.0
63,i-W1iyw9Mcuxc2GXubBR5ewj,riksdagen-records\data\1963\prot-1963--fk--007.xml,https://betalab.kb.se/prot-1963--fk--7/prot_1963__fk__7-005.jp2/_view ,6,1.0,0.0,6 Nr 7,1.0
